X,Y
8.552,-0.679
8.552,-0.692
8.565,-0.462
8.565,-0.502
8.565,-0.652
8.565,-0.679
8.579,-0.502
8.579,-0.543
8.579,-0.638
8.579,-0.652
8.592,-0.543
8.592,-0.584
8.592,-0.624
8.592,-0.638
8.606,-0.584
8.606,-0.597
8.606,-0.611
8.606,-0.624
8.701,-0.624
8.701,-0.611
8.701,-0.597
8.701,-0.611
8.837,-0.638
8.837,-0.624
8.837,-0.611
8.837,-0.624
8.959,-0.652
8.959,-0.638
8.959,-0.624
8.959,-0.638
9.027,-0.665
9.027,-0.652
9.027,-0.638
9.027,-0.652
9.149,-0.679
9.149,-0.665
9.149,-0.652
9.149,-0.665
9.217,-0.665
9.217,-0.679
9.217,-0.692
9.217,-0.679
9.23,-0.638
9.23,-0.611
9.244,-0.679
9.244,-0.638
9.244,-0.611
9.244,-0.597
9.258,-0.597
9.258,-0.611
9.258,-0.624
9.258,-0.679
9.271,-0.611
9.271,-0.624
9.773,-0.679
9.773,-0.665
9.773,-0.679
9.773,-0.692
9.787,-0.665
9.787,-0.679
9.787,-0.665
9.787,-0.652
9.801,-0.557
9.801,-0.543
9.814,-0.652
9.814,-0.665
9.814,-0.652
9.814,-0.638
9.814,-0.57
9.814,-0.557
9.814,-0.543
9.814,-0.529
9.828,-0.638
9.828,-0.57
9.828,-0.529
9.828,-0.543
9.841,-0.543
9.841,-0.638
9.868,-0.665
9.868,-0.652
9.868,-0.638
9.868,-0.652
9.896,-0.679
9.896,-0.665
9.896,-0.652
9.896,-0.665
9.923,-0.692
9.923,-0.679
9.923,-0.665
9.923,-0.679
9.936,-0.706
9.936,-0.692
9.936,-0.679
9.936,-0.692
9.977,-0.719
9.977,-0.706
9.977,-0.692
9.977,-0.706
10.181,-0.733
10.181,-0.719
10.181,-0.706
10.181,-0.719
10.33,-0.719
10.33,-0.733
10.33,-0.719
10.33,-0.706
10.371,-0.706
10.371,-0.719
10.371,-0.706
10.371,-0.692
10.466,-0.692
10.466,-0.706
10.466,-0.692
10.466,-0.679
10.52,-0.679
10.52,-0.692
10.52,-0.679
10.52,-0.665
10.547,-0.665
10.547,-0.679
10.547,-0.665
10.547,-0.652
10.574,-0.652
10.574,-0.665
10.574,-0.652
10.574,-0.638
10.615,-0.638
10.615,-0.652
10.615,-0.638
10.615,-0.624
10.9,-0.706
10.9,-0.692
10.914,-0.719
10.914,-0.706
10.914,-0.692
10.914,-0.638
10.914,-0.624
10.914,-0.638
10.927,-0.652
10.927,-0.692
10.927,-0.706
10.927,-0.719
10.941,-0.692
10.941,-0.706
11.158,-0.665
11.158,-0.652
11.158,-0.638
11.158,-0.652
11.199,-0.652
11.199,-0.665
11.199,-0.652
11.199,-0.638
11.253,-0.638
11.253,-0.652
11.253,-0.638
11.253,-0.624
11.294,-0.624
11.294,-0.638
11.294,-0.624
11.294,-0.611
11.321,-0.909
11.321,-0.747
11.334,-0.747
11.334,-0.909
11.334,-0.747
11.334,-0.733
11.348,-0.733
11.348,-0.747
11.348,-0.733
11.348,-0.719
11.362,-0.719
11.362,-0.733
11.362,-0.719
11.362,-0.665
11.375,-0.665
11.375,-0.719
11.375,-0.665
11.375,-0.652
11.389,-0.652
11.389,-0.665
11.389,-0.652
11.389,-0.624
11.389,-0.611
11.389,-0.624
11.402,-0.638
11.402,-0.652
11.796,-0.652
11.796,-0.638
11.796,-0.624
11.796,-0.638
11.85,-0.665
11.85,-0.652
11.85,-0.638
11.85,-0.652
11.891,-0.679
11.891,-0.665
11.891,-0.652
11.891,-0.665
11.932,-0.692
11.932,-0.679
11.932,-0.665
11.932,-0.679
11.945,-0.706
11.945,-0.692
11.945,-0.679
11.945,-0.692
11.959,-0.719
11.959,-0.706
11.959,-0.692
11.959,-0.706
11.986,-0.733
11.986,-0.719
11.986,-0.706
11.986,-0.719
12.027,-0.747
12.027,-0.733
12.027,-0.719
12.027,-0.733
12.108,-0.733
12.108,-0.747
12.108,-0.733
12.108,-0.719
12.339,-0.719
12.339,-0.733
12.339,-0.719
12.339,-0.706
12.38,-0.706
12.38,-0.719
12.38,-0.706
12.38,-0.692
12.393,-0.692
12.393,-0.706
12.393,-0.692
12.393,-0.679
12.407,-0.679
12.407,-0.692
12.407,-0.679
12.407,-0.665
12.42,-0.665
12.42,-0.679
12.42,-0.665
12.42,-0.638
12.434,-0.638
12.434,-0.665
12.434,-0.638
12.434,-0.624
12.447,-0.624
12.447,-0.638
12.447,-0.624
12.447,-0.611
12.488,-0.611
12.488,-0.624
12.488,-0.611
12.488,-0.597
12.57,-0.597
12.57,-0.611
12.57,-0.597
12.57,-0.584
12.57,-0.448
12.57,-0.434
12.583,-0.584
12.583,-0.448
12.583,-0.434
12.583,-0.448
12.597,-0.611
12.597,-0.597
12.597,-0.448
12.597,-0.597
12.841,-0.624
12.841,-0.611
12.841,-0.597
12.841,-0.584
