x_val,y_val
2.2999,4.5039
2.2999,4.456
2.2999,4.2963
2.3159,5.574
2.3159,5.5421
2.3159,5.4462
2.3159,5.4782
2.3159,4.456
2.3159,4.4081
2.3159,4.2484
2.3159,4.2963
2.3318,5.5421
2.3318,5.5101
2.3318,5.4143
2.3318,5.4462
2.3318,4.4081
2.3318,4.3602
2.3318,4.2005
2.3318,4.2484
2.3478,5.5101
2.3478,5.4941
2.3478,5.3823
2.3478,5.4143
2.3478,4.3602
2.3478,4.3123
2.3478,4.1525
2.3478,4.2005
2.3638,5.4941
2.3638,5.4622
2.3638,5.3504
2.3638,5.3823
2.3638,4.3123
2.3638,4.2643
2.3638,4.1046
2.3638,4.1525
2.3797,5.4622
2.3797,5.4303
2.3797,5.3344
2.3797,5.3504
2.3797,4.2643
2.3797,4.2164
2.3797,4.0567
2.3797,4.1046
2.3957,5.4303
2.3957,5.3983
2.3957,5.3025
2.3957,5.3344
2.3957,4.2164
2.3957,4.1685
2.3957,4.0248
2.3957,4.0567
2.4117,5.3983
2.4117,5.3664
2.4117,5.2705
2.4117,5.3025
2.4117,4.1685
2.4117,4.1206
2.4117,3.9769
2.4117,4.0248
2.4277,5.3664
2.4277,5.3344
2.4277,5.2386
2.4277,5.2705
2.4277,4.1206
2.4277,4.0727
2.4277,3.9289
2.4277,3.9769
2.4436,5.3344
2.4436,5.3025
2.4436,5.2067
2.4436,5.2386
2.4436,4.0727
2.4436,4.0248
2.4436,3.881
2.4436,3.9289
2.4596,5.3025
2.4596,5.2865
2.4596,5.1747
2.4596,5.2067
2.4596,4.0248
2.4596,3.9769
2.4596,0.2715
2.4596,0.2555
2.4596,0.3034
2.4596,0.3194
2.4596,3.8331
2.4596,3.881
2.4756,5.2865
2.4756,5.2546
2.4756,5.1428
2.4756,5.1747
2.4756,3.9769
2.4756,3.9289
2.4756,3.8012
2.4756,3.8331
2.4915,5.2546
2.4915,5.2226
2.4915,5.1268
2.4915,5.1428
2.4915,3.9289
2.4915,3.897
2.4915,3.7533
2.4915,3.8012
2.5075,5.2226
2.5075,5.1907
2.5075,5.0949
2.5075,5.1268
2.5075,3.897
2.5075,3.8491
2.5075,3.7054
2.5075,3.7533
2.5235,5.1907
2.5235,5.1587
2.5235,5.0629
2.5235,5.0949
2.5235,3.8491
2.5235,3.8012
2.5235,0.2875
2.5235,0.2715
2.5235,0.3194
2.5235,0.3354
2.5235,3.6734
2.5235,3.7054
2.5394,5.1587
2.5394,5.1268
2.5394,5.031
2.5394,5.0629
2.5394,3.8012
2.5394,3.7692
2.5394,3.6255
2.5394,3.6734
2.5554,5.1268
2.5554,5.0949
2.5554,4.999
2.5554,5.031
2.5554,3.7692
2.5554,3.7213
2.5554,3.5776
2.5554,3.6255
2.5714,5.0949
2.5714,5.0789
2.5714,4.9671
2.5714,4.999
2.5714,3.7213
2.5714,3.6734
2.5714,0.3034
