x_val,Y,y_val
959.997,1.291,-1
961.979,1.287,-1
964.004,1.285,-1
965.933,1.279,-1
967.907,1.281,-1
969.925,1.296,-1
971.911,1.316,-1
973.852,1.312,-1
975.754,1.291,-1
977.707,1.273,-1
979.613,1.264,-1
981.504,1.254,-1
983.442,1.251,-1
985.327,1.244,-1
987.203,1.252,-1
989.055,1.251,-1
990.872,1.255,-1
992.772,1.261,-1
994.703,1.256,-1
996.666,1.267,-1
998.71,1.29,-1
1000.731,1.32,-1
1002.632,1.308,-1
1004.583,1.288,-1
1006.477,1.268,-1
1008.359,1.265,-1
1010.289,1.255,-1
1012.2,1.242,-1
1014.144,1.227,-1
1016.061,1.231,-1
1017.945,1.22,-1
1019.867,1.217,-1
1021.777,1.208,-1
1023.676,1.201,-1
1025.671,1.203,-1
1027.722,1.218,-1
1029.693,1.231,-1
1031.591,1.212,-1
1033.464,1.196,-1
1035.368,1.176,-1
1037.259,1.151,-1
1039.094,1.154,-1
1040.984,1.152,-1
1042.899,1.131,-1
1044.774,1.133,-1
1046.678,1.135,-1
1048.527,1.136,-1
1050.431,1.136,-1
1052.301,1.129,-1
1054.27,1.141,-1
1056.38,1.16,-1
1058.37,1.187,-1
1060.318,1.184,-1
1062.255,1.161,-1
1064.151,1.151,-1
1066.022,1.154,-1
1067.882,1.149,-1
1069.728,1.147,-1
1071.575,1.149,-1
1073.37,1.152,-1
1075.229,1.15,-1
1077.085,1.159,-1
1078.958,1.164,-1
1080.832,1.166,-1
1082.786,1.17,-1
1084.791,1.183,-1
1086.796,1.199,-1
1088.711,1.211,-1
1090.563,1.192,-1
1092.464,1.174,-1
1094.318,1.163,-1
1096.156,1.143,-1
1098.009,1.147,-1
1099.852,1.14,-1
1101.729,1.127,-1
1103.587,1.126,-1
1105.44,1.122,-1
1107.272,1.134,-1
1109.119,1.134,-1
1110.952,1.118,-1
1112.857,1.139,-1
1114.815,1.149,-1
1116.771,1.167,-1
1118.637,1.169,-1
1120.516,1.153,-1
1122.399,1.137,-1
1124.266,1.128,-1
1126.159,1.118,-1
1128.012,1.116,-1
1129.957,1.111,-1
1131.858,1.111,-1
1133.761,1.105,-1
1135.622,1.099,-1
1137.525,1.094,-1
1139.424,1.09,-1
1141.347,1.079,-1
1143.367,1.098,-1
1145.389,1.11,-1
1147.36,1.111,-1
1149.312,1.1,-1
1151.223,1.074,-1
1153.114,1.078,-1
1155.01,1.069,-1
1156.943,1.05,-1
1158.904,1.057,-1
1160.892,1.058,-1
1162.845,1.047,-1
1164.798,1.049,-1
1166.737,1.346,-1
1168.67,1.056,-1
1170.641,1.053,-1
1172.632,1.065,-1
1174.658,1.087,-1
1176.653,1.092,-1
1178.578,1.096,-1
