 ,X,Y
864,1527.135,1.194
865,1529.497,1.185
866,1531.888,1.192
867,1534.288,1.192
868,1536.693,1.200
869,1539.063,1.198
870,1541.452,1.200
871,1543.793,1.205
872,1546.128,1.205
873,1548.535,1.216
874,1551.026,1.226
875,1553.487,1.236
876,1555.847,1.241
877,1558.211,1.228
878,1560.556,1.241
879,1562.922,1.232
880,1565.220,1.255
881,1567.565,1.263
882,1569.888,1.257
883,1572.194,1.254
884,1574.526,1.258
885,1576.829,1.254
886,1579.136,1.252
887,1581.486,1.248
888,1583.876,1.261
889,1586.342,1.282
890,1588.787,1.302
891,1591.145,1.282
892,1593.505,1.268
893,1595.915,1.257
894,1598.217,1.247
895,1600.632,1.249
896,1603.029,1.235
897,1605.384,1.224
898,1607.764,1.230
899,1610.170,1.223
900,1612.520,1.219
901,1614.891,1.215
902,1617.394,1.225
903,1619.914,1.244
904,1622.374,1.265
905,1624.798,1.219
906,1627.164,1.201
907,1629.469,1.197
908,1631.859,1.188
909,1634.230,1.184
910,1636.570,1.189
911,1638.947,1.184
912,1641.301,1.180
913,1643.644,1.188
914,1646.028,1.193
915,1648.346,1.204
916,1650.750,1.219
917,1653.225,1.282
918,1655.724,1.292
919,1658.097,1.256
920,1660.460,1.287
921,1662.998,1.310
922,1665.215,1.277
923,1667.617,1.264
924,1670.023,1.264
925,1672.418,1.267
926,1674.800,1.265
927,1677.228,1.268
928,1679.599,1.281
929,1681.986,1.262
930,1684.413,1.266
931,1686.893,1.271
932,1689.419,1.291
933,1691.625,1.323
934,1694.243,1.274
935,1696.471,1.256
936,1699.005,1.234
937,1701.357,1.213
938,1703.711,1.209
939,1706.156,1.195
940,1708.535,1.185
941,1710.921,1.165
942,1713.310,1.149
943,1715.749,1.135
944,1718.176,1.147
945,1720.728,1.120
946,1723.229,1.139
947,1725.778,1.147
948,1728.190,1.122
949,1730.583,1.066
950,1733.129,1.078
951,1735.631,1.056
952,1738.139,1.044
953,1740.641,1.023
954,1743.158,1.015
955,1745.650,1.011
956,1748.151,1.003
957,1750.677,0.977
958,1753.189,0.975
959,1755.820,0.980
960,1758.546,0.987
961,1761.233,0.971
962,1763.675,0.945
963,1766.238,0.920
964,1768.829,0.900
965,1771.251,0.889
966,1773.967,0.881
967,1776.571,0.860
968,1779.156,0.853
969,1781.727,0.836
970,1784.312,0.828
971,1786.880,0.801
972,1789.455,0.775
973,1792.161,0.773
974,1794.852,0.776
975,1797.453,0.763
976,1799.995,0.724
977,1802.590,0.692
978,1805.125,0.672
979,1807.677,0.656
980,1810.261,0.650
981,1812.820,0.646
982,1815.403,0.649
983,1818.019,0.652
984,1820.653,0.649
985,1823.620,0.713
986,1826.382,0.692
987,1829.087,0.713
988,1831.778,0.721
989,1834.373,0.698
990,1836.941,0.685
