x_val,Y,y_val
781.672,0.709,-1
783.527,0.764,-1
785.518,0.736,-1
787.549,0.777,-1
789.581,0.764,-1
791.476,0.818,-1
793.426,0.791,-1
795.349,0.736,-1
797.217,0.723,-1
799.153,0.736,-1
801.062,0.723,-1
803.026,0.736,-1
804.949,0.709,-1
806.858,0.723,-1
808.767,0.709,-1
810.676,0.723,-1
812.53,0.709,-1
814.494,0.709,-1
816.512,0.709,-1
818.53,0.709,-1
820.48,0.709,-1
822.361,0.682,-1
824.366,0.668,-1
826.329,0.668,-1
828.225,0.668,-1
830.188,0.655,-1
832.057,0.668,-1
833.979,0.668,-1
835.915,0.655,-1
837.729,0.709,-1
839.556,0.655,-1
841.411,0.682,-1
843.252,0.695,-1
845.065,0.736,-1
846.892,0.709,-1
848.692,0.709,-1
850.438,0.682,-1
852.197,0.736,-1
853.956,0.695,-1
855.756,0.695,-1
857.61,0.709,-1
859.478,0.695,-1
861.264,0.709,-1
863.119,0.736,-1
864.919,0.709,-1
866.732,0.736,-1
868.587,0.75,-1
870.55,0.75,-1
872.528,0.764,-1
874.423,0.791,-1
876.318,0.818,-1
878.146,0.805,-1
880.027,0.805,-1
881.773,0.818,-1
883.709,0.805,-1
885.563,0.859,-1
887.432,0.818,-1
889.327,0.859,-1
891.14,0.873,-1
892.995,0.873,-1
894.781,0.873,-1
896.649,0.9,-1
900.631,0.914,-1
898.613,0.9,-1
902.54,0.968,-1
904.463,0.955,-1
906.358,0.955,-1
908.185,0.968,-1
910.067,0.968,-1
911.84,0.955,-1
913.721,0.968,-1
915.576,0.955,-1
917.389,0.955,-1
919.189,0.968,-1
921.003,0.955,-1
922.885,0.927,-1
924.753,0.955,-1
926.566,0.955,-1
928.53,0.955,-1
930.493,0.982,-1
932.362,1.009,-1
934.216,1.009,-1
936.084,0.927,-1
937.966,0.955,-1
939.793,0.927,-1
941.647,0.927,-1
943.543,0.955,-1
945.452,0.955,-1
947.252,0.955,-1
949.161,0.955,-1
951.015,0.982,-1
952.979,0.982,-1
954.929,0.968,-1
957.029,1.009,-1
959.319,1.023,-1
961.501,1.036,-1
963.628,1.009,-1
965.756,0.982,-1
967.937,0.968,-1
970.092,1.023,-1
972.301,0.982,-1
974.496,1.009,-1
976.678,1.009,-1
978.846,0.982,-1
981.041,0.968,-1
983.291,0.968,-1
985.459,0.955,-1
987.75,0.982,-1
990.095,1.023,-1
992.223,1.023,-1
994.336,1.009,-1
996.463,0.982,-1
998.604,0.927,-1
1000.69,0.927,-1
1002.818,0.955,-1
1004.986,0.927,-1
1007.058,0.914,-1
1009.172,0.9,-1
1011.258,0.927,-1
1013.263,0.914,-1
1015.363,0.914,-1
1017.476,0.914,-1
1019.549,0.955,-1
1021.608,0.955,-1
1023.571,0.914,-1
1025.63,0.9,-1
1027.635,0.9,-1
1029.626,0.9,-1
1031.644,0.9,-1
1033.58,0.873,-1
1035.571,0.9,-1
1037.534,0.873,-1
1039.43,0.9,-1
1041.462,0.873,-1
1043.452,0.9,-1
1045.498,0.9,-1
1047.652,0.914,-1
1049.793,0.968,-1
1051.757,0.955,-1
1053.829,0.927,-1
1055.793,0.873,-1
1057.756,0.9,-1
1059.788,0.9,-1
1061.792,0.873,-1
1063.852,0.845,-1
1065.829,0.845,-1
1067.806,0.818,-1
1069.81,0.845,-1
1071.842,0.845,-1
1073.806,0.818,-1
1075.906,0.845,-1
1078.06,0.845,-1
1080.16,0.859,-1
1082.096,0.845,-1
1084.06,0.818,-1
1086.064,0.805,-1
1088.069,0.75,-1
1089.991,0.791,-1
1091.982,0.764,-1
1093.987,0.75,-1
1095.991,0.75,-1
1097.955,0.75,-1
1099.864,0.75,-1
1101.909,0.764,-1
1103.845,0.75,-1
1105.932,0.75,-1
1108.113,0.791,-1
1110.2,0.818,-1
1112.259,0.805,-1
1114.263,0.791,-1
1116.295,0.791,-1
1118.258,0.791,-1
1120.167,0.791,-1
1122.076,0.75,-1
1124.081,0.75,-1
1125.935,0.764,-1
1127.858,0.791,-1
1129.794,0.75,-1
1131.812,0.791,-1
1133.776,0.791,-1
1135.821,0.764,-1
1137.908,0.805,-1
1139.994,0.818,-1
1141.998,0.845,-1
1143.962,0.818,-1
1145.939,0.791,-1
1147.875,0.791,-1
1149.812,0.75,-1
1151.748,0.764,-1
1153.725,0.764,-1
1155.675,0.75,-1
1157.652,0.764,-1
1159.52,0.75,-1
1161.457,0.736,-1
1163.406,0.75,-1
1165.329,0.723,-1
1167.347,0.764,-1
1169.352,0.777,-1
1171.438,0.791,-1
1173.401,0.805,-1
1175.351,0.777,-1
1177.342,0.736,-1
1179.292,0.75,-1
1181.283,0.736,-1
1183.233,0.709,-1
1185.278,0.736,-1
1187.269,0.723,-1
1189.233,0.736,-1
1191.21,0.709,-1
1193.201,0.709,-1
1195.192,0.709,-1
1197.196,0.695,-1
1199.323,0.709,-1
1201.423,0.709,-1
1203.509,0.709,-1
1205.568,0.723,-1
1207.573,0.695,-1
1209.509,0.682,-1
1211.541,0.668,-1
1213.545,0.655,-1
1215.604,0.655,-1
1217.704,0.668,-1
1219.736,0.668,-1
1221.768,0.668,-1
1223.813,0.641,-1
1225.845,0.655,-1
1227.931,0.655,-1
1229.99,0.695,-1
1232.117,0.695,-1
1234.217,0.723,-1
1236.235,0.709,-1
1238.294,0.695,-1
1240.258,0.709,-1
1242.276,0.682,-1
1244.28,0.695,-1
1246.271,0.709,-1
1248.235,0.668,-1
1250.266,0.682,-1
1252.271,0.682,-1
1254.276,0.709,-1
1256.321,0.723,-1
1258.38,0.709,-1
1260.507,0.723,-1
1262.675,0.736,-1
1264.87,0.736,-1
1267.011,0.764,-1
1269.057,0.764,-1
1271.143,0.736,-1
1273.175,0.723,-1
1275.22,0.736,-1
1277.238,0.736,-1
1279.229,0.764,-1
1281.302,0.764,-1
1283.333,0.777,-1
1285.379,0.777,-1
1287.41,0.791,-1
1289.469,0.791,-1
1291.501,0.818,-1
1293.669,0.818,-1
1295.878,0.873,-1
1298.005,0.886,-1
1300.078,0.873,-1
1302.137,0.845,-1
1304.223,0.873,-1
1306.282,0.832,-1
1308.301,0.832,-1
1310.441,0.818,-1
1312.459,0.791,-1
1314.546,0.818,-1
1316.591,0.818,-1
1318.664,0.818,-1
1320.682,0.791,-1
1322.727,0.764,-1
1324.8,0.777,-1
1326.954,0.791,-1
1329.136,0.791,-1
1331.263,0.818,-1
1333.295,0.777,-1
1335.327,0.777,-1
1337.386,0.777,-1
1339.39,0.777,-1
1341.49,0.777,-1
1343.535,0.723,-1
1345.567,0.723,-1
1347.694,0.764,-1
1349.767,0.736,-1
1351.826,0.723,-1
1353.912,0.723,-1
1355.999,0.723,-1
1358.221,0.709,-1
1360.417,0.736,-1
1362.598,0.764,-1
1364.739,0.723,-1
1366.825,0.736,-1
1368.993,0.709,-1
1371.134,0.723,-1
1373.289,0.723,-1
1375.361,0.736,-1
1377.448,0.736,-1
1379.534,0.764,-1
1381.647,0.764,-1
1383.775,0.777,-1
1385.888,0.736,-1
1387.961,0.777,-1
1390.129,0.736,-1
1392.365,0.791,-1
1394.547,0.791,-1
1396.661,0.818,-1
1398.706,0.791,-1
1400.819,0.777,-1
1402.933,0.777,-1
1404.978,0.764,-1
1407.092,0.777,-1
1409.178,0.75,-1
1411.278,0.777,-1
1413.364,0.764,-1
1415.478,0.791,-1
1417.564,0.777,-1
1419.705,0.818,-1
1421.818,0.791,-1
1424.028,0.818,-1
1426.25,0.818,-1
1428.418,0.832,-1
1430.586,0.832,-1
1432.741,0.845,-1
1434.841,0.859,-1
1436.995,0.818,-1
1439.177,0.859,-1
1441.44,0.845,-1
1443.718,0.832,-1
1446.336,0.75,-1
1448.449,0.818,-1
1450.808,0.845,-1
1453.113,0.818,-1
1455.39,0.832,-1
1457.749,0.832,-1
1460.053,0.818,-1
1462.29,0.818,-1
1464.458,0.791,-1
1466.667,0.777,-1
1468.821,0.764,-1
1470.962,0.736,-1
1473.13,0.723,-1
1475.312,0.723,-1
1477.48,0.723,-1
1479.675,0.723,-1
1481.857,0.723,-1
1484.066,0.791,-1
1486.111,0.777,-1
1488.225,0.764,-1
1490.516,0.777,-1
1492.711,0.791,-1
1494.92,0.777,-1
1497.129,0.791,-1
1499.338,0.777,-1
1501.602,0.818,-1
1503.865,0.736,-1
1506.129,0.764,-1
1508.42,0.736,-1
1510.738,0.764,-1
1513.028,0.764,-1
1515.401,0.736,-1
1517.719,0.736,-1
1520.119,0.736,-1
1522.519,0.736,-1
1525.001,0.764,-1
1527.482,0.764,-1
1529.855,0.764,-1
1532.255,0.764,-1
1534.655,0.764,-1
1537,0.764,-1
1539.373,0.764,-1
1541.827,0.736,-1
1544.227,0.764,-1
1546.654,0.764,-1
1548.972,0.764,-1
1551.372,0.736,-1
1553.745,0.791,-1
1556.172,0.791,-1
1558.654,0.764,-1
1561.135,0.818,-1
1563.426,0.764,-1
1565.881,0.791,-1
1568.199,0.845,-1
1570.599,0.791,-1
1572.89,0.818,-1
1575.262,0.873,-1
1577.58,0.845,-1
1579.898,0.845,-1
1582.271,0.873,-1
1584.535,0.845,-1
1586.88,0.845,-1
1589.253,0.791,-1
1591.625,0.845,-1
1594.134,0.818,-1
1596.589,0.873,-1
1598.907,0.845,-1
1601.334,0.845,-1
1603.734,0.859,-1
1606.025,0.805,-1
1608.479,0.845,-1
1610.852,0.845,-1
1613.224,0.791,-1
1615.638,0.818,-1
1618.038,0.805,-1
1620.383,0.764,-1
1625.319,0.764,-1
1627.842,0.818,-1
1630.283,0.859,-1
1632.737,0.791,-1
1635.123,0.791,-1
1637.469,0.75,-1
1639.869,0.736,-1
1642.228,0.75,-1
1644.559,0.75,-1
1646.959,0.764,-1
1649.305,0.75,-1
1651.664,0.75,-1
1654.063,0.75,-1
1656.409,0.764,-1
1658.85,0.805,-1
1661.331,0.832,-1
1663.799,0.845,-1
1666.199,0.845,-1
1668.558,0.832,-1
1673.331,0.832,-1
1675.758,0.832,-1
1678.172,0.818,-1
1680.572,0.845,-1
1682.985,0.845,-1
1685.385,0.832,-1
1687.798,0.832,-1
1690.185,0.832,-1
1692.666,0.845,-1
1695.094,0.873,-1
1697.63,0.845,-1
1702.525,0.832,-1
1707.284,0.777,-1
